TimeStemp,Count1,Count2,Count3,Count4,TimeTaken,Turn
100,37,48,15,12,7.795548915863037,1
110,37,47,13,12,5.332977056503296,1
120,41,47,18,14,5.693698883056641,1
130,37,46,20,7,5.794526815414429,1
140,29,45,19,7,5.485570907592773,1
150,29,45,19,7,5.003587961196899,0
150,29,47,17,8,5.490951776504517,1
160,35,45,15,11,5.475522041320801,1
170,32,40,14,3,5.929505109786987,1
180,32,40,14,3,5.0035951137542725,2
180,39,48,17,7,7.020303964614868,1
190,29,45,16,5,6.67357611656189,1
200,29,45,16,5,5.005058765411377,3
200,33,48,14,6,5.7667248249053955,1
210,26,47,16,7,5.231343746185303,1
220,26,47,16,7,5.005396366119385,0
220,22,48,16,8,5.377782106399536,1
230,23,52,13,8,5.255181789398193,1
240,32,55,14,7,5.261223793029785,1
250,32,55,14,7,5.005419969558716,2
250,33,55,15,9,5.306839942932129,1
260,30,56,12,7,5.434078931808472,1
270,30,56,12,7,5.003817081451416,3
270,43,53,12,9,5.470217943191528,1
280,43,57,18,12,5.203038930892944,1
290,43,57,18,12,5.00544285774231,0
290,43,54,11,14,5.163746118545532,1
300,43,60,13,10,5.301308870315552,1
310,42,58,14,14,5.2477781772613525,1
320,42,58,14,14,5.005445957183838,2
320,45,60,12,14,5.20604681968689,1
330,39,57,12,13,5.2264368534088135,1
340,39,57,12,13,5.005060911178589,3
340,43,60,15,13,5.223104000091553,1
350,38,62,14,8,5.4329071044921875,1
360,38,62,14,8,5.005398988723755,0
360,37,60,14,11,5.275485277175903,1
370,36,66,12,12,5.280134916305542,1
380,35,64,11,12,5.418804168701172,1
390,35,64,11,12,5.004523992538452,2
390,38,63,15,13,5.726683139801025,1
400,38,55,19,7,5.167346954345703,1
410,38,55,19,7,5.004702806472778,3
410,41,53,13,10,5.829980850219727,1
420,41,56,12,8,5.3018012046813965,1
430,41,56,12,8,5.0025858879089355,0
430,35,53,12,6,5.270115852355957,1
440,34,51,13,5,5.264935255050659,1
450,37,51,10,8,5.221764802932739,1
460,37,51,10,8,5.005389928817749,2
460,38,51,10,8,5.330786943435669,1
470,41,51,11,4,5.203268766403198,1
480,41,51,11,4,5.0048370361328125,3
480,42,55,11,6,5.407182216644287,1
490,8,52,12,4,5.258172035217285,1
500,8,52,12,4,5.005444049835205,0
500,1,54,13,7,5.292341947555542,1
510,1,54,15,8,5.495824098587036,1
520,2,27,15,7,5.299959897994995,1
530,2,27,15,7,5.001193046569824,2
530,4,31,14,3,5.301414966583252,1
540,3,31,15,7,5.274980783462524,1
550,3,31,15,7,5.005419969558716,3
550,7,34,12,9,5.2937211990356445,1
560,12,33,12,10,5.173157215118408,1
570,12,33,12,10,5.003899097442627,0
570,10,38,13,8,5.6992950439453125,1
580,12,31,17,21,5.877352952957153,1
590,13,34,13,21,5.4474170207977295,1
600,13,34,13,21,5.004065990447998,2
600,16,30,15,18,5.340011835098267,1
610,18,36,15,21,5.3999340534210205,1
620,18,36,15,21,5.00543737411499,3
620,16,35,13,19,5.3176891803741455,1
630,23,35,13,12,5.305262088775635,1
640,23,35,13,12,5.005454063415527,0
640,27,36,9,11,5.450893878936768,1
650,21,32,11,15,5.320914268493652,1
660,24,38,12,14,5.464332103729248,1
670,24,38,12,14,5.003352880477905,2
670,21,44,10,11,5.215033054351807,1
680,24,50,11,12,5.2177629470825195,1
690,24,50,11,12,5.000464916229248,3
690,31,44,15,10,5.258056879043579,1
700,26,40,15,10,6.043186902999878,1
710,26,40,15,10,5.000135898590088,0
710,15,41,8,7,5.714679002761841,1
720,34,41,7,10,5.584431171417236,1
730,27,43,14,13,5.679282903671265,1
740,27,43,14,13,5.005380153656006,2
740,28,44,5,12,5.298587083816528,1
750,28,45,7,15,5.366919994354248,1
760,28,45,7,15,5.00506591796875,3
760,33,44,9,15,5.337400913238525,1
770,32,43,16,10,5.32544732093811,1
780,32,43,16,10,5.005429744720459,0
780,28,46,14,7,5.471034049987793,1
790,27,42,9,10,5.3256189823150635,1
800,36,43,9,9,5.292534589767456,1
810,36,43,9,9,5.005427837371826,2
810,31,45,10,8,5.18234395980835,1
820,24,45,13,10,5.179708957672119,1
830,24,45,13,10,5.005190134048462,3
830,28,45,12,9,5.1710288524627686,1
840,27,47,10,7,5.364714860916138,1
850,27,47,10,7,5.005198955535889,0
850,20,49,19,10,5.255686283111572,1
860,29,48,13,9,5.405802011489868,1
870,22,48,16,8,5.751632928848267,1
880,22,48,16,8,5.0017409324646,2
880,24,49,17,8,5.755380392074585,1
TimeStemp,Count1,Count2,Count3,Count4,TimeTaken,Turn
100,37,48,15,12,10.785062313079834,1
110,37,47,13,12,8.221397161483765,1
120,41,47,18,14,8.125049829483032,1
130,37,46,20,7,8.228676080703735,1
140,29,45,19,7,8.561640977859497,1
150,29,45,19,7,5.0054030418396,0
150,29,47,17,8,7.865841865539551,1
160,35,45,15,11,7.847984790802002,1
170,32,40,14,3,8.080043077468872,1
180,32,40,14,3,5.003847122192383,2
180,39,48,17,7,7.976760149002075,1
190,29,45,16,5,7.922074794769287,1
200,29,45,16,5,5.000794172286987,3
TimeStemp,Count1,Count2,Count3,Count4,TimeTaken,Turn
100,37,48,15,12,10.869143009185791,1
110,37,47,13,12,7.965821027755737,1
120,41,47,18,14,7.970937013626099,1
130,37,46,20,7,7.998161792755127,1
140,29,45,19,7,7.953778266906738,1
150,29,45,19,7,5.005409002304077,0
150,29,47,17,8,8.347791910171509,1
160,35,45,15,11,8.242408037185669,1
170,32,40,14,3,8.58591103553772,1
180,32,40,14,3,5.005417823791504,2
180,39,48,17,7,7.904167890548706,1
190,29,45,16,5,7.880751132965088,1
200,29,45,16,5,5.005404233932495,3
200,33,48,14,6,7.94054102897644,1
210,26,47,16,7,7.895449161529541,1
220,26,47,16,7,5.005380868911743,0
220,22,48,16,8,8.308584928512573,1
230,23,52,13,8,8.178599119186401,1
240,32,55,14,7,8.60058307647705,1
250,32,55,14,7,5.0018041133880615,2
250,33,55,15,9,9.376506090164185,1
260,30,56,12,7,8.594600915908813,1
270,30,56,12,7,5.003395080566406,3
